city,state,us,ca,eu,males,females,population_2014,median_age,state_age,age_index,median_income,state_income,income_index,income_per_capita,white,black,asian,hispanic,mixed,other,american_indian,hawaiian,pop_by_race_2015,pop_growth
Champaign,IL,1,0,0,42534,41979,84513,28.7,37.7,76.1273209549,48394,59588,81.2143384574,30037,52961,13194,10786,4896,1791,271,109,0,84008,-0.5975412067
Chandler,AZ,1,0,0,125644,128632,254276,35.6,37.4,95.1871657754,75562,51492,146.7451254564,35421,151850,12380,28291,57159,7696,107,3350,0,260833,2.5786940175
Charlotte,NC,1,0,0,388415,421543,809958,34.3,38.4,89.3229166667,53919,47830,112.7305038679,32953,356507,282456,50142,113731,2999,2999,2450,46,811330,0.1693914993
Cleveland,OH,1,0,0,187138,202383,389521,36,39.3,91.6030534351,28831,51075,56.4483602545,17739,133998,194350,7874,40603,9324,846,902,162,388059,-0.3753327805
Gilbert,AZ,1,0,0,112822,126455,239277,33.2,37.4,88.7700534759,86045,51492,167.103627748,32418,172610,6891,16519,39937,6799,634,3857,276,247523,3.4462150562
Glendale,AZ,1,0,0,115531,121986,237517,34.4,37.4,91.9786096257,45812,51492,88.9691602579,22462,124250,12077,12133,83711,6783,0,861,299,240114,1.0933954201
Henderson,NV,1,0,0,135401,142039,277440,42.5,37.8,112.4338624339,64035,52431,122.1319448418,34436,193461,14149,19775,47154,8532,618,1391,578,285658,2.9620818916
Las Vegas,NV,1,0,0,305504,308095,613599,37.5,37.8,99.2063492063,49676,52431,94.7454750052,26534,278444,68777,41782,204913,22366,2142,2115,3230,623769,1.6574342527
Madison,WI,1,0,0,120988,124703,245691,30.7,39.4,77.9187817259,57690,55638,103.6881268198,32658,184152,16563,20392,19697,7193,67,809,83,248956,1.3289050067
Mesa,AZ,1,0,0,231447,233257,464704,36.9,37.4,98.6631016043,49177,51492,95.5041559854,25711,292671,16749,10123,131425,8833,86,9956,1990,471833,1.5340948216
Phoenix,AZ,1,0,0,773772,763286,1537058,33.8,37.4,90.3743315508,48452,51492,94.0961702789,25222,679224,103568,49626,669914,31114,1399,25760,2394,1562999,1.687704693
Pittsburgh,PA,1,0,0,150195,155217,305412,32.9,40.7,80.8353808354,41293,55702,74.1319880794,29876,192187,73012,18067,9266,11019,637,145,52,304385,-0.3362670753
Scottsdale,AZ,1,0,0,112618,117894,230512,46.9,37.4,125.4010695187,75346,51492,146.3256428183,55114,188383,4201,9958,24083,4368,353,2420,186,233952,1.4923301173
Tempe,AZ,1,0,0,89786,83030,172816,28.8,37.4,77.0053475936,51688,51492,100.3806416531,27962,99348,9698,14561,44404,4344,0,2939,532,175826,1.7417368762
